ga:cityId,ga:dimension5
1014791,small town
1014794,large town
1014795,town
1014799,small town
1014801,small town
1014802,small town
1014804,small town
1014805,small town
1014807,small town
1014808,small town
1014811,small town
1014812,small town
1014813,small town
1014816,small town
1014817,town
1014821,town
1014823,small town
1014824,small town
1014825,small town
1014827,small town
1014828,small town
1014829,small town
1014830,town
1014831,small town
1014833,small town
1014837,town
1014838,town
1014839,town
1014841,small town
1014843,city
1014844,small town
1014847,large town
1014848,small town
1014853,small town
1014854,small town
1014855,small town
1014856,town
1014857,town
1014860,town
1014862,small town
1014864,small town
1014866,large town
1014868,town
1014873,large town
1014875,large town
1014879,small town
1014880,town
1014881,town
1014883,small town
1014884,town
1014885,town
1014886,town
1014887,small town
1014889,small town
1014890,small town
1014891,small town
1014892,small town
1014895,major city
1014897,small town
1014898,small town
1014900,small town
1014902,small town
1014903,small town
1014904,small town
1014905,small town
1014906,town
1014908,small town
1014909,small town
1014910,small town
1014911,small town
1014912,small town
1014913,small town
1014914,small town
1014916,small town
1014917,small town
1014918,small town
1014919,small town
1014920,small town
1014921,small town
1014922,town
1014923,small town
1014924,small town
1014925,small town
1014926,small town
1014927,town
1014928,small town
1014929,small town
1014930,small town
1014932,small town
1014933,small town
1014934,small town
1014936,small town
1014937,small town
1014938,large town
1014940,small town
1014942,small town
1014943,town
1014944,small town
1014945,small town
1014947,small town
1014948,large town
1014949,small town
1014950,small town
1014951,small town
1014952,small town
1014953,town
1014954,town
1014955,small town
1014957,small town
1014959,large town
1014960,small town
1014961,large town
1014962,large town
1014963,large town
1014965,small town
1014967,small town
1014968,small town
1014970,small town
1014971,small town
1014972,small town
1014975,small town
1014976,city
1014977,town
1014978,small town
1014979,small town
1014980,small town
1014981,small town
1014984,large town
1014986,town
1014987,small town
1014988,town
1014989,small town
1014990,small town
1014992,small town
1014993,town
1014994,small town
1014996,small town
1014998,small town
1014999,town
1015000,small town
1015001,large town
1015003,town
1015004,large town
1015005,small town
1015006,town
1015007,large town
1015008,large town
1015009,small town
1015011,small town
1015012,town
1015013,small town
1015015,town
1015020,town
1015021,town
1015022,small town
1015023,small town
1015024,small town
1015025,small town
1015026,small town
1015027,city
1015028,small town
1015029,large town
1015030,small town
1015031,town
1015032,town
1015033,city
1015038,small town
1015041,small town
1015042,small town
1015043,small town
1015044,town
1015045,town
1015046,small town
1015047,small town
1015049,city
1015050,small town
1015051,small town
1015054,city
1015055,large town
1015061,small town
1015062,small town
1015064,small town
1015067,major city
1015068,town
1015069,small town
1015070,small town
1015072,large town
1015074,small town
1015076,town
1015077,small town
1015078,large town
1015079,small town
1015080,small town
1015081,small town
9052261,small town
1015082,small town
1015083,small town
1015084,small town
1015085,small town
1015086,small town
1015087,town
1015088,large town
1015090,large town
1015091,small town
1015093,small town
1015094,town
1015097,small town
1015098,small town
1015099,small town
1015100,small town
1015102,town
1015103,small town
1015104,small town
1015105,small town
1015106,small town
1015107,small town
1015108,small town
1015109,small town
1015110,small town
1015111,small town
1015113,large town
1015115,small town
1015116,city
1015117,large town
1015120,small town
1015121,small town
1015123,small town
1015124,small town
1015125,small town
1015127,small town
1015129,town
1015131,small town
1015132,small town
1015133,town
1015134,small town
1015135,small town
1015138,town
1015139,small town
1015140,large town
1015141,large town
1015142,town
1015145,small town
1015146,small town
1015147,small town
1015148,small town
1015149,small town
1015150,city
1015151,town
1015153,town
1015155,small town
1015156,small town
1015157,large town
1015158,small town
1015160,large town
1015162,small town
1015163,town
1015164,small town
1015166,city
1015167,large town
1015168,small town
1015169,small town
1015170,large town
1015172,town
1015174,small town
1015175,small town
1015176,large town
1015179,large town
1015180,small town
1015181,small town
1015182,city
1015183,town
1015184,small town
1015185,small town
1015187,town
1015188,small town
1015189,small town
1015190,large town
1015191,small town
1015192,large town
1015193,small town
1015194,town
1015195,small town
1015197,town
1015198,small town
1015201,small town
1015203,small town
1015204,large town
1015206,city
1015207,small town
1015208,small town
1015213,city
1015214,city
1015215,town
1015216,small town
1015219,town
1015220,small town
1015221,small town
1015223,town
1015225,small town
1015227,small town
1015229,large town
1015230,large town
1015231,small town
1015232,small town
1015234,small town
1015235,town
1015236,town
1015237,town
1015238,town
1015241,small town
1015242,small town
1015243,town
1015244,small town
1015245,small town
1015246,small town
1015247,large town
1015248,small town
1015249,large town
1015250,small town
1015252,small town
1015254,city
1015255,small town
1015257,small town
1015258,small town
1015259,small town
1015260,small town
1015261,small town
1015262,small town
1015263,small town
1015264,small town
1015265,small town
1015266,small town
1015267,small town
1015268,small town
1015269,small town
1015271,small town
1015272,small town
1015273,small town
1015274,small town
1015275,small town
1015276,small town
1015277,small town
1015278,small town
1015279,small town
1015280,small town
1015281,small town
1015282,small town
1015283,small town
1015284,small town
1015285,small town
1015286,town
1015287,small town
1015288,town
1015289,town
1015290,small town
1015291,small town
1015293,small town
1015294,small town
1015295,small town
1015296,small town
1015297,small town
1015298,small town
1015299,small town
1015301,small town
1015302,small town
1015303,city
1015304,small town
1015305,small town
1015307,small town
1015308,small town
1015309,small town
1015310,small town
1015311,small town
1015313,small town
1015315,small town
1015316,small town
1015317,small town
1015318,small town
1015319,town
1015320,small town
1015321,small town
1015322,small town
1015323,small town
1015324,small town
1015325,town
1015327,small town
1015328,small town
1015329,small town
1015330,small town
1015331,small town
1015332,town
1015333,small town
1015334,town
1015335,small town
1015336,small town
